CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Athlon X2 Dual Core BE-2400,,688,,693,,18.0,38.21,2,2009,FT1,Desktop
AMD Athlon Dual Core 4450B,31.0,684,22.05,780,25.15,45.0,15.19,2,2009,AM2+,Desktop
AMD Turion II Neo K685 Dual-Core,,684,,729,,15.0,45.6,2,2011,BGA812,Laptop
AMD A4-3300M APU,29.99,683,22.79,766,25.55,65.0,10.51,2,2011,FM1,Laptop
AMD Opteron 175,,682,,773,,110.0,6.2,2,2008,939,Server
AMD Athlon II Dual-Core M340,,676,,774,,35.0,19.32,2,2010,unknown,Unknown
AMD Athlon II X2 270u,67.67,675,9.98,791,11.69,25.0,27.02,2,2010,AM3,Desktop
AMD Turion 64 X2 Mobile TL-64,39.39,675,17.14,702,17.81,35.0,19.29,2,2009,S1,Laptop
AMD Athlon II P320 Dual-Core,19.95,674,33.78,811,40.64,25.0,26.96,2,2010,unknown,Unknown
AMD Athlon II P340 Dual-Core,39.95,673,16.84,827,20.71,25.0,26.91,2,2010,S1g4,Unknown
AMD Athlon 64 X2 Dual Core 4200+,109.95,672,6.12,786,7.15,89.0,7.56,2,2008,AM2,Desktop
AMD Turion X2 Dual-Core Mobile RM-72,224.26,666,2.97,751,3.35,35.0,19.03,2,2008,S1,Laptop
AMD E2-3000M APU,42.98,665,15.48,735,17.11,35.0,19.01,2,2011,FS1,Laptop
AMD Athlon II N330 Dual-Core,,665,,813,,35.0,19.01,2,2010,unknown,Unknown
AMD Athlon II X2 260u,83.44,663,7.94,703,8.42,25.0,26.5,2,2010,AM3,Desktop
AMD Athlon 64 X2 Dual Core 4000+,,661,,730,,65.0,10.17,2,2008,AM2,Desktop
AMD Turion Dual-Core RM-75,21.49,659,30.65,444,20.67,35.0,18.82,2,2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,,654,,789,,35.0,18.67,2,2009,S1,Laptop
AMD Turion Dual-Core RM-72,29.99,649,21.63,725,24.16,35.0,18.53,2,2009,S1,Laptop
AMD Opteron 170,,648,,715,,110.0,5.89,2,2009,939,Server
AMD Athlon 64 X2 QL-66,,641,,751,,35.0,18.31,2,2009,S1,Laptop
AMD A4-3320M APU,39.0,640,16.42,656,16.82,35.0,18.29,2,2012,FS1,Laptop
AMD Turion X2 Dual-Core Mobile RM-77,,635,,753,,35.0,18.13,2,2009,S1,Laptop
AMD Athlon 64 X2 Dual-Core TK-57,,634,,675,,31.0,20.45,2,2009,unknown,Unknown
AMD Athlon II Dual-Core M300,,631,,747,,35.0,18.03,2,2009,unknown,Unknown
AMD Turion 64 X2 Mobile TL-66,89.0,627,7.04,816,9.17,35.0,17.9,2,2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-70,,624,,663,,31.0,20.14,2,2009,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-74,14.95,623,41.71,730,48.81,35.0,17.81,2,2009,S1,Laptop
AMD Athlon 64 X2 QL-64,,622,,732,,35.0,17.78,2,2009,S1,Laptop
AMD GX-212JC SOC,,619,,453,,6.0,103.13,2,2014,FT3b,Laptop
AMD Athlon Dual Core 4050e,,616,,732,,45.0,13.69,2,2009,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,,611,,719,,89.0,6.87,2,2008,AM2,Desktop
AMD Athlon 64 X2 QL-65,22.0,609,27.69,653,29.67,35.0,17.41,2,2009,S1,Laptop
AMD Athlon II X2 250u,24.95,604,24.22,632,25.32,25.0,24.17,2,2010,AM3,Desktop
AMD Turion X2 Dual Core L510,,603,,593,,20.0,30.13,2,2010,ASB1,Laptop
AMD E1 Micro-6200T APU,,600,,498,,3.95,151.92,2,2014,FT3b,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-87,,599,,770,,35.0,17.13,2,2022,S1,Mobile/Embedded
AMD E1-2500 APU,,597,,467,,15.0,39.83,2,2013,FT3,Laptop
AMD Athlon 64 X2 Dual Core 3600+,68.25,596,8.73,686,10.05,65.0,9.17,2,2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2300,,594,,624,,45.0,13.2,2,2011,AM2,Desktop
AMD Opteron 1212,290.0,593,2.04,729,2.51,103.0,5.75,2,2009,AM2,Server
AMD Athlon X2 Dual Core BE-2350,,591,,705,,45.0,13.14,2,2009,AM2,Desktop
AMD Turion 64 X2 Mobile TL-60,15.95,591,37.07,688,43.15,31.0,19.07,2,2009,S1,Laptop
AMD Turion II Neo N40L Dual-Core,,589,,609,,15.0,39.24,2,2011,BGA812,Laptop
AMD Turion Dual-Core RM-74,,588,,595,,35.0,16.8,2,2014,S1,Laptop
AMD E1-7010 APU,,582,,492,,10.0,58.16,2,2016,BGA769 (FT3b),Laptop
AMD Athlon 64 X2 QL-67,,582,,515,,35.0,16.63,2,2009,S1,Laptop
AMD Athlon 64 X2 Dual-Core TK-42,,577,,537,,20.0,28.85,2,2009,unknown,Unknown
AMD Athlon 64 X2 Dual Core BE-2350,,573,,674,,45.0,12.74,2,2009,AM2,Desktop
AMD Athlon X2 Dual Core BE-2300,60.0,570,9.5,644,10.73,45.0,12.67,2,2009,AM2,Desktop
AMD Athlon 64 X2 3800+,,566,,745,,89.0,6.36,2,2010,939,Desktop
AMD Turion II Neo K625 Dual-Core,,565,,596,,15.0,37.66,2,2010,S1,Laptop
AMD Athlon X2 Dual Core 6850e,,564,,623,,22.0,25.65,2,2010,unknown,Unknown
AMD Sempron Dual Core 2200,39.95,563,14.09,649,16.24,65.0,8.66,2,2009,unknown,Unknown
AMD Sempron 2650 APU,84.97,561,6.6,475,5.59,25.0,22.42,2,2014,"AM1,FSB1",Desktop
AMD Turion Dual-Core RM-70,25.0,561,22.46,548,21.9,31.0,18.11,2,2008,S1,Laptop
AMD Sempron Dual Core 2300,41.99,555,13.22,697,16.6,65.0,8.54,2,2009,unknown,Unknown
AMD Athlon 64 X2 QL-62,,553,,685,,35.0,15.81,2,2009,S1,Laptop
AMD E1-6015 APU,,542,,440,,,,2,2015,BGA769 (FT3b),Laptop
AMD TurionX2 Dual Core Mobile RM-70,,536,,674,,31.0,17.28,2,2009,S1,Laptop
AMD Athlon 64 X2 Dual-Core TK-53,,535,,600,,31.0,17.26,2,2009,unknown,Unknown
AMD Sempron Dual Core 2100,37.99,533,14.04,596,15.69,65.0,8.21,2,2009,unknown,Unknown
AMD Athlon 64 X2 Dual Core 3400+,,531,,505,,89.0,5.97,2,2010,754,Desktop
AMD Opteron 165,550.0,531,0.97,638,1.16,110.0,4.83,2,2009,939,Server
AMD Athlon Neo X2 Dual Core L335,,529,,570,,18.0,29.36,2,2009,unknown,Unknown
AMD Athlon II Neo K345 Dual-Core,,527,,552,,12.0,43.94,2,2011,unknown,Laptop
AMD Athlon 64 X2 Dual-Core TK-55,72.74,525,7.21,613,8.42,35.0,14.99,2,2008,unknown,Unknown
AMD E1-6010 APU,,522,,419,,10.0,52.24,2,2014,FT3b,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,49.95,521,10.44,628,12.58,32.0,16.29,2,2009,S1,Laptop
AMD Athlon 64 FX-57,,517,,552,,104.0,4.97,1,2009,939,Desktop
AMD Sempron 145,35.99,505,14.04,989,27.47,45.0,11.23,1,2010,AM3,Desktop
AMD Sempron 130,30.0,501,16.69,1064,35.47,45.0,11.13,1,2012,AM2+/AM3,Unknown
AMD E2-2000 APU,,501,,555,,18.0,27.81,2,2013,"BGA413,FT1",Laptop
AMD Sempron 150,14.95,498,33.32,1079,72.16,45.0,11.07,1,2011,AM3,Desktop
AMD Turion X2 Dual Core Mobile RM-70,132.56,497,3.75,504,3.8,31.0,16.02,2,2009,S1,Laptop
AMD Athlon 64 3100+,,484,,600,,89.0,5.44,1,2015,754,Desktop
