Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
691,Intel Mobile Pentium 4 HT 552,CPU,2005-01-04,90.0,88.0,112.0,125.0,3467.0,Intel,Intel,,,
692,Intel Xeon Platinum 8360H,CPU,2021-04-06,14.0,225.0,,,3000.0,Intel,Intel,,,
693,Intel Xeon E5-4610,CPU,2012-05-14,32.0,130.0,435.0,2270.0,2400.0,Intel,Intel,,,
694,Intel Celeron E3500,CPU,2010-08-29,45.0,65.0,82.0,228.0,2700.0,Intel,Intel,,,
695,Intel Core i7-3517U,CPU,2012-06-03,22.0,17.0,118.0,,1900.0,Intel,Intel,,,
696,Intel Xeon E3-1220L,CPU,2011-04-03,32.0,20.0,131.0,504.0,2200.0,Intel,Intel,,,
697,AMD Opteron X2150,CPU,2013-05-29,28.0,22.0,,,1900.0,Unknown,AMD,,,
698,Intel Core i3-3225,CPU,2012-09-03,22.0,55.0,118.0,,3300.0,Intel,Intel,,,
699,AMD Phenom II X2 565 BE,CPU,2010-12-07,45.0,80.0,258.0,758.0,3400.0,Unknown,AMD,,,
700,Intel Core i3-2105,CPU,2011-05-22,32.0,65.0,,,3100.0,Intel,Intel,,,
701,AMD Turion 64 ML-34,CPU,2005-03-10,90.0,35.0,125.0,114.0,1800.0,Unknown,AMD,,,
702,Intel Core Duo LV L2400,CPU,2006-01-05,65.0,15.0,90.0,151.0,1666.0,Intel,Intel,,,
703,Intel Core i7-1068G7,CPU,2019-08-01,10.0,28.0,,,2300.0,Intel,Intel,,,
704,Intel Xeon Gold 6334,CPU,2021-04-06,10.0,165.0,,,3600.0,Intel,Intel,,,
705,Intel Celeron D 341,CPU,2004-09-22,90.0,84.0,109.0,125.0,2930.0,Intel,Intel,,,
706,AMD E2-1800,CPU,2012-06-06,40.0,18.0,75.0,,1700.0,Unknown,AMD,,,
707,Intel Pentium 4 1.4,CPU,2001-08-27,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,,,
708,Intel Pentium G860,CPU,2011-09-04,32.0,65.0,131.0,504.0,3000.0,Intel,Intel,,,
709,Intel Xeon 3.0,CPU,2004-06-28,90.0,135.0,135.0,155.0,3000.0,Intel,Intel,,,
710,AMD Athlon 64 3700+,CPU,2004-06-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,,,
711,AMD E2-3000,CPU,2013-05-23,32.0,15.0,246.0,1178.0,1650.0,Unknown,AMD,,,
712,AMD Athlon 64 3100+,CPU,2008-04-21,65.0,25.0,77.0,122.0,2000.0,Unknown,AMD,,,
713,Intel Core i5-11600T,CPU,2021-03-16,14.0,35.0,,,1700.0,Intel,Intel,,,
714,Intel Celeron 787,CPU,2011-07-01,32.0,17.0,131.0,504.0,1300.0,Intel,Intel,,,
715,AMD Athlon XP 2600+,CPU,2001-01-01,130.0,68.0,101.0,63.0,1917.0,Unknown,AMD,,,
716,Intel Xeon E3-1270 v2,CPU,2012-05-14,22.0,69.0,160.0,1400.0,3500.0,Intel,Intel,,,
717,Intel Core i5-10600,CPU,2020-04-30,14.0,65.0,,,3300.0,Intel,Intel,,,
718,AMD EPYC 74F3,CPU,2021-03-15,7.0,240.0,,,2800.0,TSMC,AMD,,,
719,Intel Core i9-7960X,CPU,2017-09-01,14.0,165.0,,,2800.0,Intel,Intel,,,
720,AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,80.0,37.0,1467.0,Unknown,AMD,,,
721,AMD Ryzen 9 3900X,CPU,2019-07-07,7.0,105.0,74.0,3800.0,3800.0,TSMC,AMD,,,
722,AMD Opteron 150,CPU,2004-05-18,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
723,AMD Ryzen 3 4300GE,CPU,2020-07-21,7.0,35.0,,,3500.0,TSMC,AMD,,,
724,Intel Pentium 4 HT 571,CPU,2005-06-12,90.0,115.0,109.0,125.0,3800.0,Intel,Intel,,,
725,Intel Core 2 Quad Q9450,CPU,2008-03-25,45.0,95.0,107.0,820.0,2666.0,Intel,Intel,,,
726,Intel Xeon E3-1245 v2,CPU,2012-05-14,22.0,77.0,160.0,1400.0,3400.0,Intel,Intel,,,
727,AMD FX-9370,CPU,2013-07-06,32.0,220.0,315.0,1200.0,4400.0,Unknown,AMD,,,
728,Intel Pentium 4 HT 560,CPU,2004-06-21,90.0,115.0,109.0,125.0,3600.0,Intel,Intel,,,
