CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i3-2367M,,832,,617,,17.0,48.93,2,2011,BGA1023,Laptop
Intel Pentium B940,29.94,832,27.78,861,28.75,35.0,23.77,2,2011,PGA988,Laptop
Intel Core2 Duo E4600,157.95,829,5.25,925,5.86,65.0,12.76,2,2008,LGA775,Desktop
Intel Celeron E3400,14.99,829,55.32,1007,67.16,65.0,12.76,2,2010,LGA775,Desktop
Intel Core2 Duo P8400,297.01,827,2.79,921,3.1,25.0,33.09,2,2008,BGA479,Laptop
Intel Core2 Duo T7700,129.95,825,6.35,899,6.92,35.0,23.56,2,2008,BGA479,Laptop
Intel Core i3-2357M,,824,,591,,17.0,48.48,2,2011,unknown,Laptop
Intel Core2 Duo T7500,42.99,823,19.14,878,20.43,35.0,23.51,2,2008,BGA479,Laptop
Intel Core2 Extreme X6800,263.64,823,3.12,973,3.69,75.0,10.98,2,2008,PLGA775,Desktop
Intel Atom x5-Z8330,,822,,468,,4.0,205.53,4,2016,unknown,Laptop
Intel Atom x5-Z8300,132.99,819,6.16,463,3.48,4.0,204.66,4,2015,UTFCBGA592,"Laptop, Mobile/Embedded"
Intel Celeron P4500,,816,,707,,35.0,23.32,2,2010,PGA988A,Laptop
Intel Core i3-2365M,,815,,611,,17.0,47.92,2,2012,BGA1023,Laptop
Intel Celeron B830,49.99,812,16.25,841,16.83,35.0,23.21,2,2012,rPGA988B,Laptop
Intel Core2 Duo E4700,26.99,811,30.04,998,36.98,65.0,12.47,2,2008,LGA775,Desktop
Intel Core2 Duo E6540,,808,,969,,65.0,12.43,2,2009,LGA775,Desktop
Intel Atom Z3735G,,806,,487,,4.4,183.11,4,2014,unknown,Laptop
Intel Xeon E5503,130.19,804,6.18,845,6.49,80.0,10.05,2,2010,LGA1366,Server
Intel Celeron 1007U,184.99,798,4.31,760,4.11,17.0,46.93,2,2013,FCBGA1023,Laptop
Intel Xeon 5130,48.99,795,16.22,796,16.24,65.0,12.23,2,2009,LGA771,Server
Intel Atom Z3775D,,794,,646,,4.4,180.52,4,2015,UTFCBGA1380,Laptop
Intel Pentium E2220,55.0,793,14.42,892,16.23,65.0,12.21,2,2009,LGA775,Desktop
Intel Pentium T4500,29.95,793,26.48,911,30.42,35.0,22.66,2,2010,PGA478,Laptop
Intel Core2 Duo P7370,,790,,793,,25.0,31.58,2,2008,PGA478,Laptop
Intel Pentium 997,,789,,729,,17.0,46.42,2,2012,BGA-1023,Unknown
Intel Xeon 3040,25.04,789,31.52,474,18.92,65.0,12.14,2,2009,LGA775,Server
Intel Celeron B820,29.29,789,26.94,745,25.44,35.0,22.54,2,2012,PGA988B,Laptop
Intel Celeron B810,79.95,775,9.69,754,9.43,35.0,22.13,2,2011,PGA988B,Laptop
Intel Core2 Duo E6400,29.94,772,25.79,844,28.19,65.0,11.88,2,2009,LGA775,Desktop
Intel Pentium T4300,98.95,771,7.79,834,8.43,35.0,22.02,2,2009,PGA478,Laptop
Intel Core2 Duo T7600,99.95,770,7.71,848,8.48,34.0,22.66,2,2008,"PBGA479, PPGA478",Laptop
Intel Core2 Duo P7570,,770,,904,,25.0,30.81,2,2009,PGA478,Laptop
Intel Pentium P6000,,765,,713,,35.0,21.86,2,2010,PGA988,Laptop
Intel Xeon 5120,1474.4,763,0.52,748,0.51,65.0,11.73,2,2009,LGA771,Server
Intel Pentium T4400,109.95,762,6.93,862,7.84,35.0,21.77,2,2011,PGA478,Laptop
Intel Core2 Duo T6600,39.97,761,19.03,851,21.3,35.0,21.73,2,2009,PGA478,Laptop
Intel Atom Z3735D,,761,,591,,4.4,173.03,4,2014,unknown,Laptop
Intel Core2 Duo T6670,,756,,855,,35.0,21.61,2,2009,PGA478,Laptop
Intel Core i5-470UM,,755,,539,,18.0,41.95,2,2010,BGA1288,Laptop
Intel Atom Z3775,500.0,754,1.51,538,1.08,4.0,188.38,4,2014,UTFCBGA1380,Laptop
Intel Pentium E2200,54.0,752,13.93,841,15.57,65.0,11.57,2,2009,LGA775,Desktop
Intel Celeron 1047UE,,748,,526,,17.0,44.03,2,2014,FCBGA1023,Desktop
Intel Core2 Duo P7450,39.99,747,18.68,821,20.53,25.0,29.88,2,2009,PGA478,Laptop
Intel Core2 Duo SL9400,253.0,743,2.94,767,3.03,17.0,43.7,2,2009,BGA956,Laptop
Intel Pentium D 960,,743,,775,,130.0,5.71,2,2009,PLGA775,Desktop
Intel Celeron N2910,,742,,446,,7.5,98.94,4,2013,FCBGA1170,Laptop
Intel Core2 Duo T8100,999.99,739,0.74,836,0.84,35.0,21.13,2,2008,BGA479,Laptop
Intel Atom Z3770,149.44,738,4.94,542,3.63,4.0,184.46,4,2013,UTFCBGA1380,Laptop
Intel Celeron 2961Y,,732,,641,,11.5,63.66,2,2015,unknown,Laptop
Intel Celeron 887,,727,,694,,17.0,42.74,2,2012,BGA1023,Laptop
Intel Core2 Duo P7350,19.99,727,36.38,787,39.35,25.0,29.09,2,2008,BGA479,Laptop
Intel Core2 Duo T7200,61.83,723,11.69,756,12.22,34.0,21.27,2,2008,"PBGA479, PPGA478",Laptop
Intel Core2 Duo E4500,11.0,718,65.32,820,74.56,65.0,11.05,2,2008,LGA775,Desktop
Intel Core2 Duo T6570,38.5,718,18.65,824,21.41,35.0,20.52,2,2009,PGA478,Laptop
Intel Pentium T4200,98.95,715,7.23,788,7.96,35.0,20.43,2,2009,PGA478,Laptop
Intel Core2 Duo E6420,39.99,714,17.86,783,19.58,65.0,10.99,2,2008,PLGA775,Desktop
Intel Celeron E1600,,712,,877,,65.0,10.95,2,2009,LGA775,Desktop
Intel Atom Z3560,,710,,495,,,,4,2022,unknown,Mobile/Embedded
Intel Core2 Duo T6400,14.99,708,47.24,794,52.97,35.0,20.23,2,2009,PGA478,Laptop
Intel Celeron B815,,706,,684,,35.0,20.18,2,2012,PGA988B,Laptop
Intel Core2 Duo T5870,,705,,751,,35.0,20.14,2,2008,"PPGA478, Socket",Laptop
Intel Atom E3840,,704,,477,,,,4,2014,unknown,Unknown
Intel Core2 Duo T7400,149.95,702,4.68,774,5.16,34.0,20.65,2,2010,BGA479,Laptop
Intel Pentium E2210,,702,,946,,65.0,10.81,2,2009,LGA775,Desktop
Intel Core i3-380UM,,699,,562,,18.0,38.81,2,2010,BGA1288,Laptop
Intel Core2 Duo T6500,14.99,696,46.44,836,55.74,35.0,19.89,2,2009,PGA478,Laptop
Intel Core2 Duo T7300,53.99,693,12.84,772,14.31,35.0,19.8,2,2008,BGA479,Laptop
Intel Celeron G470,35.15,691,19.67,937,26.67,35.0,19.75,1,2014,LGA1155,Desktop
Intel Atom Z3560,,690,,476,,,,4,2021,unknown,Mobile/Embedded
Intel Celeron P4505,,689,,820,,35.0,19.7,2,2010,BGA1288,Laptop
Intel Core2 Duo T7250,201.48,688,3.41,771,3.82,35.0,19.65,2,2009,BGA479,Laptop
Intel Core2 Duo L7800,,680,,622,,,,2,2012,unknown,Unknown
Intel Pentium D 950,,679,,695,,130.0,5.22,2,2008,PLGA775,Desktop
