Product,cpuName
Intel Xeon 7130M,AMD Ryzen 5 PRO 4650G
Intel Core i3-4160T,Intel Core i7-11600H @ 2.90GHz
AMD Sempron 130,Intel Core i7-10700TE @ 2.00GHz
Intel Atom N470,AMD Ryzen 7 1800X
AMD Sempron 3100+,Intel Xeon Gold 5118 @ 2.30GHz
Intel Core Duo LV L2500,Intel Core i9-10980HK @ 2.40GHz
AMD Sempron 2300+,AMD Ryzen Embedded V2748
AMD A10-5700,Intel Xeon E5-2669 v3 @ 2.30GHz
AMD A4-1350,AMD Ryzen 7 5700U
Intel Pentium III 1000,Intel Core i5-11400H @ 2.70GHz
Intel Core i3-10100,Intel Core i7-1260P
Intel Atom Z530,Intel Xeon W-10885M @ 2.40GHz
Intel Xeon W3580,AMD Ryzen 7 4850U Mobile
Intel Core i5-9600KF,Intel Xeon E-2336 @ 2.90GHz
AMD Athlon 64 3800+,Intel Xeon Gold 5117 @ 2.00GHz
AMD Opteron 250,Intel Xeon E5-2695 v3 @ 2.30GHz
AMD Athlon 64 X2 4600+ EE,Intel Xeon Silver 4214 @ 2.20GHz
Intel Core i5-2435M,AMD Ryzen 5 PRO 4650GE
AMD Athlon XP 2200+,Intel Core i9-10885H @ 2.40GHz
AMD Athlon 1200,AMD Ryzen 5 4600GE
Intel Pentium III  800,AMD Ryzen 7 2700
AMD Athlon XP-M 2200+,AMD Ryzen 5 4600G
Intel Pentium 4-M 1.40,AMD Ryzen 7 PRO 1700X
Intel Core i3-2377M,Intel Xeon E5-2680 v3 @ 2.50GHz
Intel Atom D510,AMD Ryzen 7 PRO 4750U
Intel Core i7-5775C,AMD Ryzen 7 1700X
Intel Core Duo T2250,Intel Xeon Gold 5217 @ 3.00GHz
Intel Atom N455,Intel Core i7-10875H @ 2.30GHz
Intel Core i7-10510Y,Intel Xeon Gold 5215 @ 2.50GHz
Intel Pentium D 840,Intel Xeon E5-4667 v3 @ 2.00GHz
Intel Xeon E5-2609 v2,AMD Ryzen 5 PRO 5650U
Intel Core 2 Duo E4600,Intel Core i5-11260H @ 2.60GHz
Intel Xeon E7-8893 v3,Intel Core i7-11700T @ 1.40GHz
Intel Core i7-620M,Intel Core i5-11600T @ 1.70GHz
AMD Phenom II X3 B75,Intel Xeon E-2278GE @ 3.30GHz
AMD Athlon 64 3000+,Intel Xeon E-2286M @ 2.40GHz
AMD Athlon 64 3200+,Intel Xeon Silver 4214Y @ 2.20GHz
Intel Xeon 3.06,AMD Ryzen 5 5600U
Intel Pentium 4 HT 520,Intel Xeon Silver 4116T @ 2.10GHz
AMD Athlon 64 FX-51,Intel Xeon Silver 4215R @ 3.20GHz
Intel Xeon E3-1280 v5,Intel Core i9-10900T @ 1.90GHz
AMD Athlon II X3 455,Intel Xeon D-2166NT @ 2.00GHz
Intel Pentium 4 2.0,AMD Ryzen 5 5625U
