Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
3003,radeon rx 6800 xt,GPU,2020-10-28,7.0,300.0,520.0,26800.0,1825.0,TSMC,AMD,41470.0,20740.0,1296.0
3004,radeon hd 7470m,GPU,2012-01-07,40.0,25.0,67.0,370.0,750.0,TSMC,AMD,,256.0,
3010,firepro w2100,GPU,2014-08-12,28.0,26.0,77.0,950.0,630.0,TSMC,AMD,,435.2,27.2
3013,radeon rx 6700 xt,GPU,2021-03-03,7.0,230.0,335.0,17200.0,2321.0,TSMC,AMD,26430.0,13210.0,825.9
3015,firepro s10000,GPU,2012-11-12,28.0,375.0,352.0,4313.0,825.0,TSMC,AMD,,3405.0,851.2
3027,radeon r9 m385,GPU,2015-05-05,28.0,,160.0,2080.0,900.0,TSMC,AMD,,1792.0,112.0
3031,firepro w9100,GPU,2014-03-26,28.0,275.0,438.0,6200.0,930.0,TSMC,AMD,,5238.0,2619.0
3038,playstation 4 gpu,GPU,2013-11-24,28.0,75.0,348.0,,800.0,TSMC,AMD,1843.0,1843.0,
3042,radeon pro wx 9100,GPU,2017-07-10,14.0,230.0,495.0,12500.0,1200.0,GF,AMD,24580.0,12290.0,768.0
3044,radeon r7 350 oem,GPU,2015-05-05,28.0,65.0,77.0,950.0,1000.0,TSMC,AMD,,806.4,50.4
3046,radeon hd 7690m,GPU,2011-12-25,40.0,20.0,104.0,716.0,725.0,TSMC,AMD,,696.0,
3059,firepro w4170m,GPU,2014-04-28,28.0,,77.0,950.0,825.0,TSMC,AMD,,691.2,43.2
3061,firepro m5100,GPU,2013-10-16,28.0,,123.0,1500.0,725.0,TSMC,AMD,,992.0,62.0
3062,radeon hd 7500g igp,GPU,2012-05-15,32.0,17.0,246.0,1303.0,327.0,TSMC,AMD,,217.1,
3065,radeon hd 6750m,GPU,2011-01-04,40.0,35.0,104.0,716.0,600.0,TSMC,AMD,,576.0,
3072,radeon pro wx vega m gl,GPU,2018-04-24,14.0,65.0,208.0,5000.0,931.0,GF,AMD,2588.0,2588.0,161.8
3073,radeon pro 580x,GPU,2019-03-18,14.0,185.0,232.0,5700.0,1100.0,GF,AMD,5530.0,5530.0,345.6
3077,radeon r9 m280x,GPU,2015-02-05,28.0,,160.0,2080.0,900.0,TSMC,AMD,,1792.0,112.0
3081,firepro s9000,GPU,2012-08-24,28.0,225.0,352.0,4313.0,900.0,TSMC,AMD,,3226.0,806.4
3082,radeon r2 mobile graphics,GPU,2015-01-28,28.0,100.0,107.0,930.0,300.0,GF,AMD,,76.8,4.8
3084,radeon hd 8240 mobile igp,GPU,2013-11-01,28.0,15.0,110.0,1178.0,400.0,TSMC,AMD,,102.4,6.4
3085,radeon rx 5300,GPU,2020-05-28,7.0,100.0,158.0,6400.0,1327.0,TSMC,AMD,9265.0,4632.0,289.5
3086,radeon hd 6450 oem,GPU,2011-02-07,40.0,18.0,67.0,370.0,625.0,TSMC,AMD,,200.0,
3089,radeon hd 7650m rebrand,GPU,2012-03-28,40.0,20.0,104.0,716.0,485.0,TSMC,AMD,,465.6,
3106,radeon r9 m375,GPU,2015-05-05,28.0,,123.0,1500.0,1000.0,TSMC,AMD,,1299.0,81.2
3109,radeon r9 280,GPU,2014-03-04,28.0,200.0,352.0,4313.0,827.0,TSMC,AMD,,3344.0,836.0
3110,radeon r7 graphics,GPU,2014-01-11,28.0,65.0,245.0,2410.0,720.0,GF,AMD,,737.3,46.08
3111,radeon hd 8770m,GPU,2013-04-01,28.0,,77.0,950.0,775.0,TSMC,AMD,,633.6,39.6
3112,playstation 4 pro gpu,GPU,2016-11-10,16.0,150.0,322.0,5700.0,911.0,TSMC,AMD,8396.0,4198.0,
3113,radeon r7 m465x,GPU,2016-05-15,28.0,,123.0,1500.0,900.0,TSMC,AMD,,947.2,59.2
3117,firestream 9250,GPU,2008-06-16,55.0,150.0,256.0,956.0,625.0,TSMC,AMD,,1000.0,200.0
3121,firepro w6170m,GPU,2014-08-25,28.0,,160.0,2080.0,1075.0,TSMC,AMD,,1651.0,103.2
3123,radeon hd 6870m,GPU,2011-01-04,40.0,50.0,166.0,1040.0,675.0,TSMC,AMD,,1080.0,
3129,radeon r7 m265dx,GPU,2014-10-12,28.0,,125.0,1550.0,925.0,TSMC,AMD,721.9,721.9,45.12
3130,radeon hd 6550m,GPU,2010-11-26,40.0,26.0,334.0,2154.0,600.0,TSMC,AMD,,480.0,
3136,radeon r6 m340dx,GPU,2015-12-12,28.0,,56.0,690.0,955.0,TSMC,AMD,,791.0,49.44
3137,radeon vega 3,GPU,2019-11-20,14.0,15.0,210.0,4940.0,300.0,GF,AMD,844.8,422.4,26.4
3138,radeon hd 6230,GPU,2011-07-02,40.0,19.0,59.0,292.0,650.0,TSMC,AMD,,104.0,
3140,radeon rx 580g,GPU,2018-10-15,14.0,185.0,232.0,5700.0,1257.0,GF,AMD,6129.0,6129.0,383.0
3141,firestream 9270,GPU,2008-11-13,55.0,160.0,256.0,956.0,750.0,TSMC,AMD,,1200.0,240.0
3143,radeon hd 6380g igp,GPU,2011-06-14,32.0,35.0,227.0,1178.0,400.0,TSMC,AMD,,128.0,
3144,radeon r9 fury x2,GPU,NaT,28.0,,596.0,8900.0,1050.0,TSMC,AMD,,8602.0,
3148,nvidia geforce 8200m g mgpu amd,GPU,2008-06-03,80.0,12.0,127.0,210.0,400.0,Unknown,AMD,,25.6,
3158,radeon hd 6750m mac edition,GPU,2011-04-18,40.0,35.0,104.0,716.0,598.0,TSMC,AMD,,574.1,
3160,radeon hd 8570 oem rebrand,GPU,2013-07-23,40.0,60.0,118.0,716.0,650.0,TSMC,AMD,,624.0,
3165,radeon r9 370,GPU,2015-05-05,28.0,110.0,212.0,2800.0,925.0,TSMC,AMD,,2496.0,156.0
3169,radeon hd 8510 oem,GPU,2013-04-24,40.0,39.0,104.0,627.0,650.0,TSMC,AMD,,520.0,
3172,radeon hd 6650a,GPU,2011-04-19,40.0,45.0,118.0,716.0,600.0,TSMC,AMD,,576.0,
3178,radeon rx 6700,GPU,2021-01-01,7.0,180.0,335.0,17200.0,1489.0,TSMC,AMD,20740.0,10370.0,648.0
3185,radeon rx 570x,GPU,2018-04-11,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5095.0,5095.0,318.5
3189,radeon r7 m465,GPU,2016-05-15,28.0,,56.0,690.0,825.0,TSMC,AMD,,737.3,46.08
3193,radeon hd 7450 oem,GPU,2012-01-05,40.0,18.0,67.0,370.0,625.0,TSMC,AMD,,200.0,
3198,radeon instinct mi6,GPU,2016-12-12,14.0,150.0,232.0,5700.0,1120.0,GF,AMD,5682.0,5682.0,355.1
3199,radeon hd 8310g igp,GPU,NaT,32.0,20.0,246.0,1303.0,424.0,TSMC,AMD,,141.8,
3201,radeon r5 m315,GPU,2015-05-05,28.0,,125.0,1550.0,970.0,TSMC,AMD,745.0,745.0,46.56
3207,radeon hd 7640g igp,GPU,2012-05-15,32.0,35.0,246.0,1303.0,496.0,TSMC,AMD,,335.4,
