,Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
4450,4450,NVIDIA A30 PCIe,GPU,2021-04-12,7.0,165.0,826.0,54200.0,930.0,TSMC,NVIDIA,10320.0,10320.0,5161.0
4453,4453,NVIDIA GeForce 9300 GE,GPU,2008-06-01,65.0,,86.0,210.0,540.0,TSMC,NVIDIA,,20.8,
4454,4454,NVIDIA GeForce GTX 460M,GPU,2010-09-03,40.0,50.0,238.0,1170.0,675.0,TSMC,NVIDIA,,518.4,43.2
4456,4456,NVIDIA GRID K180Q,GPU,2013-06-28,28.0,130.0,118.0,1270.0,850.0,TSMC,NVIDIA,,326.4,13.6
4458,4458,NVIDIA GeForce4 Ti 4400,GPU,2002-02-06,150.0,,142.0,63.0,275.0,TSMC,NVIDIA,,,
4459,4459,NVIDIA Quadro FX 770M,GPU,2008-08-14,65.0,35.0,144.0,314.0,500.0,UMC,NVIDIA,,80.0,
4462,4462,NVIDIA GeForce GT 220M,GPU,2009-06-15,55.0,14.0,121.0,314.0,500.0,TSMC,NVIDIA,,80.0,
4463,4463,NVIDIA GeForce GT 710M,GPU,2013-01-09,28.0,15.0,116.0,585.0,775.0,TSMC,NVIDIA,,297.6,24.8
4465,4465,NVIDIA GeForce GT 635 OEM,GPU,2013-10-01,28.0,35.0,87.0,1020.0,967.0,TSMC,NVIDIA,,742.7,30.94
4468,4468,NVIDIA GeForce GTX 950,GPU,2015-08-20,28.0,90.0,228.0,2940.0,1024.0,TSMC,NVIDIA,,1825.0,57.02
4469,4469,NVIDIA GeForce GTX 1660 Ti,GPU,2019-02-22,12.0,120.0,284.0,6600.0,1500.0,TSMC,NVIDIA,10870.0,5437.0,169.9
4470,4470,NVIDIA GeForce GTX 965M,GPU,2016-01-01,28.0,,228.0,2940.0,935.0,TSMC,NVIDIA,,2355.0,73.6
4471,4471,NVIDIA Quadro RTX 5000 Max-Q,GPU,2019-05-27,12.0,80.0,545.0,13600.0,600.0,TSMC,NVIDIA,16590.0,8294.0,259.2
4475,4475,NVIDIA GeForce 9500 GT Mac Edition,GPU,2010-05-19,55.0,50.0,121.0,314.0,550.0,TSMC,NVIDIA,,89.6,
4476,4476,NVIDIA GeForce GTX 750,GPU,2014-02-18,28.0,55.0,148.0,1870.0,1020.0,TSMC,NVIDIA,,1111.0,34.72
4481,4481,NVIDIA GeForce GT 630,GPU,2012-05-15,40.0,65.0,116.0,585.0,810.0,TSMC,NVIDIA,,311.0,25.92
4483,4483,NVIDIA Quadro FX 1500,GPU,2006-04-20,90.0,65.0,196.0,278.0,325.0,TSMC,NVIDIA,,,
4485,4485,NVIDIA GeForce GT 630M,GPU,2012-03-22,28.0,33.0,116.0,585.0,800.0,TSMC,NVIDIA,,307.2,25.6
4488,4488,NVIDIA GeForce 505 OEM,GPU,2013-02-17,40.0,25.0,100.0,486.0,615.0,TSMC,NVIDIA,,49.49,
4489,4489,NVIDIA GeForce GT 445M,GPU,2010-09-03,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,,339.8,28.32
4493,4493,NVIDIA GeForce GTX 1650 SUPER,GPU,2019-11-22,12.0,100.0,284.0,6600.0,1530.0,TSMC,NVIDIA,8832.0,4416.0,138.0
4497,4497,NVIDIA GeForce GTX 1060 8 GB GDDR5X,GPU,NaT,16.0,120.0,314.0,7200.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7
4500,4500,NVIDIA Quadro 410,GPU,2012-08-07,28.0,38.0,118.0,1270.0,706.0,TSMC,NVIDIA,,271.1,11.3
4502,4502,NVIDIA GeForce GTX 1650 Mobile,GPU,2020-04-15,12.0,50.0,200.0,4700.0,1380.0,TSMC,NVIDIA,6205.0,3103.0,96.96
4504,4504,NVIDIA Quadro K4000,GPU,2013-03-01,28.0,80.0,221.0,2540.0,810.0,TSMC,NVIDIA,,1244.0,51.84
4506,4506,NVIDIA GeForce 940M,GPU,2015-03-13,28.0,33.0,,,1072.0,TSMC,NVIDIA,,903.2,28.22
4507,4507,NVIDIA Quadro K620,GPU,2014-07-22,28.0,45.0,148.0,1870.0,1058.0,TSMC,NVIDIA,,863.2,26.98
4508,4508,NVIDIA Quadro FX 3450,GPU,2005-07-28,130.0,83.0,225.0,222.0,425.0,TSMC,NVIDIA,,,
4511,4511,NVIDIA GeForce 8400 GS PCI Rev. 2,GPU,2007-04-17,40.0,40.0,57.0,260.0,520.0,TSMC,NVIDIA,,39.36,
4513,4513,NVIDIA GeForce 7050 + nForce 630a,GPU,2006-02-01,90.0,,81.0,112.0,425.0,Unknown,NVIDIA,,,
4516,4516,NVIDIA Quadro FX 330,GPU,2004-06-28,150.0,21.0,91.0,45.0,250.0,TSMC,NVIDIA,,,
4518,4518,NVIDIA GeForce GTX 780 Ti 6 GB,GPU,NaT,28.0,250.0,561.0,7080.0,875.0,TSMC,NVIDIA,,5345.0,222.7
4521,4521,NVIDIA Quadro FX 2000,GPU,2003-01-21,130.0,,199.0,125.0,400.0,TSMC,NVIDIA,,,
4523,4523,NVIDIA Quadro FX 1700,GPU,2007-09-12,80.0,42.0,169.0,289.0,460.0,TSMC,NVIDIA,,58.88,
4525,4525,NVIDIA GeForce 8400M G,GPU,2007-05-09,80.0,10.0,127.0,210.0,400.0,TSMC,NVIDIA,,12.8,
4526,4526,NVIDIA GeForce GT 640 Rev. 2,GPU,2013-05-29,28.0,49.0,87.0,1020.0,1046.0,TSMC,NVIDIA,,803.3,33.47
4527,4527,NVIDIA GRID K540Q,GPU,2014-07-02,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,,2289.0,95.36
4528,4528,NVIDIA GeForce GT 710,GPU,2014-03-27,28.0,19.0,87.0,1020.0,954.0,TSMC,NVIDIA,,366.3,15.26
4529,4529,NVIDIA GeForce 9400 GT Rev. 2,GPU,2008-08-27,55.0,50.0,121.0,314.0,550.0,TSMC,NVIDIA,,44.8,
4532,4532,NVIDIA GeForce 6800 Ultra,GPU,2004-04-14,130.0,,287.0,222.0,425.0,TSMC,NVIDIA,,,
4534,4534,NVIDIA GeForce 9500 GT,GPU,2008-07-29,65.0,50.0,144.0,314.0,600.0,UMC,NVIDIA,,96.0,
4540,4540,NVIDIA GeForce 7150M + nForce 630M,GPU,2007-11-16,90.0,,81.0,112.0,425.0,Unknown,NVIDIA,,,
4541,4541,NVIDIA Quadro RTX 4000 Mobile,GPU,2019-05-27,12.0,110.0,545.0,13600.0,1110.0,TSMC,NVIDIA,15970.0,7987.0,249.6
4545,4545,NVIDIA Jetson TX2 GPU,GPU,2016-01-01,16.0,15.0,,,854.0,TSMC,NVIDIA,1500.0,750.1,23.44
4547,4547,NVIDIA GeForce GT 240M,GPU,2009-06-15,40.0,23.0,100.0,486.0,550.0,TSMC,NVIDIA,,116.2,
