GPUname,GPUname.1
radeon r7 m260x,nvidia geforce gt 730
radeon r7 m265,amd radeon r7 a265
radeon r7 m260,nvidia geforce fx go5200 64m
radeon r7 m260 v2,nvidia geforce 7600 gs agp
radeon r7 m270,nvidia geforce rtx 3070 mobile
radeon r5 m255,ati firemv 2260
radeon r5 m220,nvidia geforce 6100 + nforce 420
radeon r5 m210,nvidia geforce 6100 + nforce 430
radeon r5 m230,nvidia geforce gtx 560 ti oem
radeon r5 m240,amd radeon r5 a255
mobility radeon x2500,ati radeon x1650 gt
mobility radeon xpress 1250,nvidia grid m60-2q
mobility radeon x1800,nvidia titan x pascal
mobility radeon x1900,amd firepro w8100
mobility radeon x2300 128mb gddr3,ati mobility radeon 9600 pro turbo
mobility radeon x1400,nvidia quadro fx 5600
mobility radeon x1300,nvidia p106-090
radeon r9 m385 4gb,nvidia quadro fx go1400
radeon r9 m380 4gb,nvidia geforce go 7300t
mobility radeon x1600,amd radeon r7 graphics
radeon r9 m385x 4gb,nvidia geforce gt 325m
radeon r9 m375x 4gb,nvidia rtx a5000
radeon r9 m360 4gb,ati radeon xpress 1200 igp
radeon r9 m365x 4gb,nvidia geforce 7900 gt
radeon r7 m340 2gb,amd radeon r8 m535dx
radeon r9 m375 2gb,nvidia quadro k2200
radeon r7 m360 2gb,nvidia geforce gt 720m
mobility radeon x1700,amd firepro s7100x
radeon r7 m360 4gb,nvidia quadro 4000
mobility radeon x1350,amd radeon hd 8860 oem
radeon r5 m335 2gb,nvidia geforce 8800 gts 640
radeon r5 m330 2gb,nvidia tesla k20m
radeon r5 m320 2gb,amd radeon hd 6250 igp
radeon r5 m330 4gb,nvidia quadro nvs 135m
radeon r9 m470 4gb,intel xeon phi 7120p
radeon r9 m470x 4gb,nvidia geforce rtx 2080 super mobile
intel gm965 express chipset,nvidia jetson tx1 gpu
intel gm45 express chipset,amd radeon r7 m260x
mobility radeon x300,nvidia geforce gt 1030
radeon r5 m335 4gb,amd radeon r5 m230 rebrand
mobility radeon xpress 200,nvidia geforce fx 5900 ultra
hd i5 m580,ati mobility radeon hd 5670 mac edition
mobility radeon x600,amd radeon hd 7340 igp
mobility radeon x700,amd radeon rx 460 mobile
intel 82852/82855,nvidia quadro 1000m
hd i5 u470,amd radeon vega 8 mobile
hd i5 u430,nvidia quadro fx 4400
hd i5 m560,ati radeon hd 2400 pro pci
hd i5 m480,nvidia geforce 6800 gt
hd i5 m520,nvidia quadro fx 4400g
hd i5 m540,nvidia geforce rtx 2060
hd i5 m460,ati radeon hd 5670 640sp edition
hd i5 m430,ati firepro v3800
hd i5 m450,nvidia grid k200
hd i5 6300u,intel extreme graphics 2
hd i5 6440hq,amd radeon pro 450
hd i5 5350u,ati mobility radeon hd 2700
hd i5 6200u,ati mobility radeon hd 3850
hd i5 4250u,intel hd graphics p4000
hd i5 4260u,amd radeon graphics 384sp
hd i5 6300hq,intel iris pro graphics 5200
hd i5 5250u,ati radeon hd 5770
