ID,Architecture,Best Resolution,Core Speed,Direct X,L2 Cache,Manufacturer,Max Power,Memory,Memory Bandwidth,Memory Bus,Memory Speed,Memory Type,GPUname,Open GL,PSU,Pixel Rate,Power Connector,Process,ROPs,Release Date,Release Price,Resolution WxH,Shader,TMUs,Texture Rate,VGA Connection,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Release Date Rank
100,218-11-1,1024768,625,10.1,0,Nvidia,14,512,12.6,64,790,3,GeForce 310M,3.3,,3,,40,4,2010-10-01,,25601600,4.1,8.0,5,,40.0,14.0,57.0,260.0,625.0,TSMC,NVIDIA,48.96,,162
101,218-11-1,1024768,606,10.1,0,Nvidia,14,512,12.6,64,790,3,GeForce 315M,3.3,,2,,40,4,2011-05-01,,25601600,4.1,8.0,5,,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,38.78,,122
102,218-11-1,1024768,525,10.1,0,Nvidia,14,512,11.2,64,700,3,GeForce 305M,3.3,,2,,40,4,2010-10-01,,25601600,4.1,8.0,4,,40.0,14.0,57.0,260.0,525.0,TSMC,NVIDIA,36.8,,162
103,104,19201080,719,12.0,512,Nvidia,100,1024,160,256,1250,5,GeForce GTX 675MX Mac Edition,4.5,,23,,28,32,2013-01-01,,40962160,5.0,112.0,81,,28.0,100.0,294.0,3540.0,719.0,TSMC,NVIDIA,1933.0,80.53,35
104,104-13--2,19201080,720,12.0,512,Nvidia,100,4096,115.2,256,900,5,GeForce GTX 680M,4.5,,23,,28,32,2012-05-01,,40962160,5.0,112.0,81,,28.0,100.0,294.0,3540.0,719.0,TSMC,NVIDIA,2038.0,84.9,81
105,104-13--2,19201080,600,12.0,512,Nvidia,100,2048,115.2,256,900,5,GeForce GTX 675MX,4.5,,19,,28,32,2012-01-01,,40962160,5.0,80.0,48,,28.0,100.0,294.0,3540.0,654.0,TSMC,NVIDIA,1256.0,52.32,86
106,104-13--2,19201080,601,12.0,384,Nvidia,75,3072,67.2,192,700,5,GeForce GTX 670MX,4.5,,14,,28,24,2012-01-01,,40962160,5.0,80.0,48,,28.0,75.0,294.0,3540.0,601.0,TSMC,NVIDIA,1154.0,48.08,86
107,107,1366768,710,12.0,256,Nvidia,32,2048,28.8,128,900,3,GeForce GT 645M,4.5,,11,,28,16,2012-01-01,,40962160,5.0,32.0,23,,28.0,32.0,118.0,1270.0,709.0,TSMC,NVIDIA,544.5,22.69,86
108,117,1366768,625,12.0,128,Nvidia,15,2048,14.4,64,900,3,GeForce GT 625M,4.5,,3,,28,4,2012-01-01,,25601600,5.0,16.0,10,,28.0,15.0,116.0,585.0,625.0,TSMC,NVIDIA,240.0,20.0,86
109,116,1366768,675,12.0,384,Nvidia,35,2048,28.8,128,900,3,GeForce GT 635M,4.5,,11,,40,16,2012-06-01,,25601600,5.0,24.0,16,,40.0,35.0,116.0,585.0,660.0,TSMC,NVIDIA,253.4,21.12,77
110,116,1366768,675,12.0,384,Nvidia,35,2048,28.8,128,900,3,GeForce GT 635M,4.5,,11,,40,16,2012-06-01,,25601600,5.0,24.0,16,,40.0,35.0,238.0,1170.0,675.0,TSMC,NVIDIA,388.8,32.4,77
111,116,1366768,675,12.0,384,Nvidia,35,2048,28.8,128,900,3,GeForce GT 635M,4.5,,11,,40,16,2012-06-01,,25601600,5.0,24.0,16,,40.0,33.0,116.0,585.0,660.0,TSMC,NVIDIA,253.4,21.12,77
