Radeon R9 M390 4GB,NVIDIA GeForce GTX 980 Ti
HD i7 M640,AMD Radeon Pro Duo
Radeon R9 M485X 4GB,AMD Radeon Pro 5500M
Radeon R9 M390X 4GB,NVIDIA GeForce 9400M
Radeon R9 M290X Crossfire,AMD Radeon R3E Mobile Graphics
HD i3 M350,Intel Iris Plus Graphics 650
Radeon HD 7290,ATI Radeon HD 4650 AGP
Mobility Radeon HD 5870 Crossfire,NVIDIA GeForce 315M
Mobility Radeon HD 565v,NVIDIA GeForce GTX 260 Rev. 2
Mobility Radeon HD 5870,NVIDIA GeForce RTX 3050
Mobility Radeon HD 5850,ATI Radeon 7500 Mac Edition
Mobility Radeon HD 5830,NVIDIA GeForce GTX 965M
Radeon R9 M290X,Intel Iris Graphics 6100
Mobility Radeon HD 5730,AMD Radeon RX 5300M
Mobility Radeon HD 5770,NVIDIA GeForce G102M
Mobility Radeon HD 5650,AMD FirePro S9170
Mobility Radeon HD 5470,NVIDIA GeForce GTX 980 Mobile
Mobility Radeon HD 560v,NVIDIA GeForce GTX 1650 Ti Mobile
Mobility Radeon HD 550v,ATI Radeon 9550 XT
Mobility Radeon HD 545v,AMD Radeon HD 6625M
Mobility Radeon HD 5470 512MB,NVIDIA GeForce GT 520 OEM
Mobility Radeon HD 530v,NVIDIA GeForce MX350
Radeon HD 8970M Crossfire,AMD Radeon Vega 8 Embedded
Mobility Radeon HD 5145,NVIDIA GeForce G210 OEM Rev. 2
Mobility Radeon HD 5450,ATI Radeon 9800 PRO MAXX
Radeon HD 8970M,ATI Radeon 9800 SE
Mobility Radeon HD 540v,NVIDIA Quadro FX 570M
Mobility Radeon HD 5165,NVIDIA GeForce GT 630 Rev. 2
Mobility Radeon HD 5430,ATI Radeon X800 GT
Mobility Radeon HD 5750,AMD Radeon HD 7510 OEM
Radeon HD 8870M,AMD Radeon R7 370
Radeon HD 8850M v2,ATI FireMV 2250 PCIe x1
Radeon HD 8790M,ATI Radeon HD 5450
Radeon HD 8830M,NVIDIA GeForce MX330
Radeon HD 8770M,AMD Radeon R3 Mobile Graphics
Radeon HD 8850M,AMD Radeon Vega 8 Embedded
Radeon HD 8750M,Intel HD Graphics
Radeon HD 8690M,3dfx Voodoo5 5500 PCI
Radeon HD 8730M,NVIDIA GeForce 6600 GT Dual
Radeon HD 8750M v2,AMD Radeon R9 290X
Radeon HD 8670M,AMD Radeon R9 270
Radeon HD 8570M,AMD Radeon RX 5700 XT
Radeon HD 8550M,NVIDIA NVS 3100M
Radeon HD 8670M 2GB,ATI Radeon DDR MAXX
Radeon HD 6970M,NVIDIA Quadro NVS 440
Radeon HD 8400,NVIDIA GRID K260Q
Radeon HD 6950M,NVIDIA GeForce 9300 + nForce 730i
Radeon HD 6850M,NVIDIA GeForce GTX 1060 5 GB
Radeon HD 6830M,AMD Radeon R7 M260DX
Radeon HD 6870M,Intel Xeon Phi SE10X
Radeon HD 6770M 2GB,AMD Radeon HD 7480D IGP
Radeon HD 6990M,NVIDIA GeForce GTX 1060 6 GB GP104
Radeon HD 6770M,AMD Radeon HD 6970
Radeon HD 6750M 512MB,AMD Radeon R7 250XE
Radeon HD 6750M,ATI Radeon IGP 345M
Radeon HD 6650M,AMD Radeon HD 7970 X2
Radeon HD 6570M,NVIDIA GeForce GT 1030 DDR4
Radeon HD 6730M,Intel UHD Graphics 630
Radeon HD 6630M,NVIDIA PG506-232
Radeon HD 6550M,NVIDIA Quadro K600
Radeon HD 6470M,NVIDIA GeForce GTX 1660 Ti Mobile
Radeon HD 6490M,ATI Mobility Radeon X1350
Radeon HD 6530M,NVIDIA GeForce FX 5200 PCI
Radeon HD 6450M,ATI Radeon X1300 XT AGP
Radeon HD 6370M,AMD Radeon R5 230
Radeon HD 6350M,NVIDIA Quadro T600 Mobile
Radeon HD 6430M,AMD Radeon HD 7970
Radeon HD 6330M,AMD Radeon RX 6700M
Radeon HD 8330,ATI Radeon X1300 XT
Radeon HD 8250,ATI Radeon X1300 PRO AGP
Radeon HD 8280,AMD Radeon E9171 MCM
Radeon HD 6320,NVIDIA GeForce Go 7300
Radeon HD 8180,NVIDIA Quadro FX 2700M
Radeon HD 6290,Intel GMA 950
Radeon HD 6250,NVIDIA GeForce FX Go5300
Radeon HD 8210,AMD Radeon E8860
Radeon HD 7950M [not released],AMD Radeon Pro Vega 16
Radeon HD 8240,NVIDIA GeForce 6800 XT
Radeon HD 6310,NVIDIA GeForce 7300 GS Low Profile
Radeon HD 7850M,ATI Radeon HD 4570 Rebrand
Radeon HD 7870M,Intel Xeon Phi 5110P
Radeon HD 7770M 2GB,NVIDIA GeForce 9800S
Radeon HD 7970M,NVIDIA GeForce 7025 + nForce 630a
Radeon HD 7970M Crossfire,AMD Radeon R9 M485X
Radeon HD 7730M,NVIDIA GeForce GTX 480M
Radeon HD 7690M XT,NVIDIA GeForce GTX 285 Mac Edition
Radeon HD 7670M,ATI Radeon X1600 XT Dual
Radeon HD 7650M,ATI Radeon SDR PCI
Radeon HD 7670M 2GB,NVIDIA GeForce 9500 GS Rev. 2
Radeon HD 7750M,AMD Radeon RX Vega 11
Radeon HD 7770M,ATI Mobility Radeon HD 5165
Radeon HD 7690M,ATI Radeon X800 GTO AGP
Radeon HD 7630M,AMD Radeon R5 235X OEM
Radeon HD 7610M,NVIDIA Quadro Plex 2100 D4
Radeon HD 7550M v2,AMD Radeon Pro Duo Polaris
Radeon HD 7590M,AMD Radeon RX 550X
Radeon HD 7510M,NVIDIA GeForce GTX 1080 Max-Q
Radeon HD 7530M,AMD Radeon RX 560 Mobile
Radeon HD 7550M,NVIDIA Quadro M5500 Mobile
Radeon HD 7570M,ATI Radeon X600 SE
Radeon HD 7430M,3dfx Voodoo4 4000 AGP
Radeon HD 7450M,AMD FirePro W4000
Radeon HD 7470M,NVIDIA GeForce GTX 580
Radeon HD 7490M,NVIDIA GeForce RTX 2060 Max-Q Refresh
Radeon HD 7370M,ATI Mobility Radeon HD 5650
Radeon HD 7340,Intel GMA X4500
Radeon HD 7350M,AMD Radeon E9550 MXM
Radeon HD 7330M,Intel HD Graphics 2000
Radeon HD 7310,ATI Radeon HD 4700
Radeon R9 M280X [not released],AMD Radeon HD 8670A
Radeon R9 M275X,ATI Xbox 360 GPU 65nm
Radeon R9 M265X,AMD Radeon R9 285X
Radeon R9 M275 [not released],NVIDIA GeForce GTX 1080 11Gbps
Radeon R9 M270X,NVIDIA Quadro P3000 Mobile
Radeon R7 M260X,NVIDIA GeForce GT 730
Radeon R7 M265,AMD Radeon R7 A265
Radeon R7 M260,NVIDIA GeForce FX Go5200 64M
Radeon R7 M260 v2,NVIDIA GeForce 7600 GS AGP
Radeon R7 M270,NVIDIA GeForce RTX 3070 Mobile
Radeon R5 M255,ATI FireMV 2260
Radeon R5 M220,NVIDIA GeForce 6100 + nForce 420
Radeon R5 M210,NVIDIA GeForce 6100 + nForce 430
Radeon R5 M230,NVIDIA GeForce GTX 560 Ti OEM
Radeon R5 M240,AMD Radeon R5 A255
Mobility Radeon X2500,ATI Radeon X1650 GT
Mobility Radeon Xpress 1250,NVIDIA GRID M60-2Q
Mobility Radeon X1800,NVIDIA TITAN X Pascal
Mobility Radeon X1900,AMD FirePro W8100
Mobility Radeon X2300 128MB GDDR3,ATI Mobility Radeon 9600 PRO Turbo
Mobility Radeon X1400,NVIDIA Quadro FX 5600
Mobility Radeon X1300,NVIDIA P106-090
Radeon R9 M385 4GB,NVIDIA Quadro FX Go1400
Radeon R9 M380 4GB,NVIDIA GeForce Go 7300T
Mobility Radeon X1600,AMD Radeon R7 Graphics
Radeon R9 M385X 4GB,NVIDIA GeForce GT 325M
Radeon R9 M375X 4GB,NVIDIA RTX A5000
Radeon R9 M360 4GB,ATI Radeon Xpress 1200 IGP
Radeon R9 M365X 4GB,NVIDIA GeForce 7900 GT
Radeon R7 M340 2GB,AMD Radeon R8 M535DX
Radeon R9 M375 2GB,NVIDIA Quadro K2200
Radeon R7 M360 2GB,NVIDIA GeForce GT 720M
Mobility Radeon X1700,AMD FirePro S7100X
Radeon R7 M360 4GB,NVIDIA Quadro 4000
Mobility Radeon X1350,AMD Radeon HD 8860 OEM
Radeon R5 M335 2GB,NVIDIA GeForce 8800 GTS 640
Radeon R5 M330 2GB,NVIDIA Tesla K20m
Radeon R5 M320 2GB,AMD Radeon HD 6250 IGP
Radeon R5 M330 4GB,NVIDIA Quadro NVS 135M
Radeon R9 M470 4GB,Intel Xeon Phi 7120P
Radeon R9 M470X 4GB,NVIDIA GeForce RTX 2080 SUPER Mobile
Intel GM965 Express Chipset ,NVIDIA Jetson TX1 GPU
Intel GM45 Express Chipset,AMD Radeon R7 M260X
Mobility Radeon X300,NVIDIA GeForce GT 1030
Radeon R5 M335 4GB,AMD Radeon R5 M230 Rebrand
Mobility Radeon Xpress 200,NVIDIA GeForce FX 5900 Ultra
HD i5 M580,ATI Mobility Radeon HD 5670 Mac Edition
Mobility Radeon X600,AMD Radeon HD 7340 IGP
Mobility Radeon X700,AMD Radeon RX 460 Mobile
Intel 82852/82855 ,NVIDIA Quadro 1000M
HD i5 U470,AMD Radeon Vega 8 Mobile
HD i5 U430,NVIDIA Quadro FX 4400
HD i5 M560,ATI Radeon HD 2400 PRO PCI
HD i5 M480,NVIDIA GeForce 6800 GT
HD i5 M520,NVIDIA Quadro FX 4400G
HD i5 M540,NVIDIA GeForce RTX 2060
HD i5 M460,ATI Radeon HD 5670 640SP Edition
HD i5 M430,ATI FirePro V3800
HD i5 M450,NVIDIA GRID K200
HD i5 6300U,Intel Extreme Graphics 2
HD i5 6440HQ,AMD Radeon Pro 450
HD i5 5350U,ATI Mobility Radeon HD 2700
HD i5 6200U,ATI Mobility Radeon HD 3850
HD i5 4250U,Intel HD Graphics P4000
HD i5 4260U,AMD Radeon Graphics 384SP
HD i5 6300HQ,Intel Iris Pro Graphics 5200
HD i5 5250U,ATI Radeon HD 5770
HD i5 4210U,NVIDIA Quadro FX 3500
HD i5 4210M,AMD Radeon HD 7950 Monica BIOS 1
HD i5 4210H,AMD Radeon R7 260
HD i5 4200H,NVIDIA GeForce GT 120M Mac Edition
HD i5 4200U,ATI Radeon 8500 X4
HD i5 2520M,NVIDIA GeForce GTX 460 v2
HD i5 2430M,NVIDIA GeForce 7050 + nForce 620i
HD i5 2467M,NVIDIA GeForce 840M
HD i3 M380,Intel HD Graphics
HD i5 2410M,AMD Radeon Pro V520
HD i3 M390,NVIDIA GeForce4 MX 420 PCI
HD i5 4200M,NVIDIA GeForce 6200 TurboCache
HD i3 M370,AMD FirePro M8900
HD M5-6Y57,AMD Radeon HD 8250 IGP
HD M5-6Y54,Intel H3C XG310
HD M7-6Y75,AMD Radeon HD 6630M Mac Edition
HD M3-6Y30,AMD Radeon R9 M275
HD M-5Y70,ATI Mobility Radeon HD 4100 IGP
HD M-5Y71,NVIDIA Quadro FX 600 PCI
HD i3 M330,ATI Radeon HD 3850
HD M-5Y31,NVIDIA Quadro P400
HD i3 6100U,ATI Radeon 9800
HD i3 6100H,NVIDIA Quadro 7000
HD M-5Y51,ATI All-In-Wonder X800 SE
HD i3 2357M,ATI Radeon HD 2600 XT
HD i3 2370M,Intel HD Graphics 400
HD i3 2310M,Intel GMA X4500MHD
HD i3 2330M,ATI Radeon 9200 PRO
HD M-5Y10a,ATI FireMV 2200
HD M-5Y10,ATI Radeon X700 PRO
HD i7 M620,ATI Mobility FireGL V3100
HD i7 6820HK,AMD Radeon HD 6850 X2
HD i7 6820HQ,AMD Radeon HD 7970 GHz Edition
HD M-5Y10c,ATI Mobility Radeon X1350
HD i7 6920HQ,AMD Radeon E9172 MXM
HD i7 6500U,AMD Radeon HD 8280 IGP
HD i7 5700HQ,NVIDIA Tesla T4
Intel GMA 900,Intel HD Graphics P530
HD i7 6700HQ,ATI Radeon HD 5670
Intel HD Graphics Mobile (Sandy Bridge),ATI Radeon 9700 PRO X4
Intel HD Graphics Mobile (Ivy Bridge),ATI Radeon X800 XT Platinum AGP
HD i7 6600U,ATI Radeon X600 PRO
Intel GMA 950,NVIDIA Quadro K4200
Intel HD Graphics Mobile (Haswell),NVIDIA GeForce FX 5200 Rev. 2
Intel HD Graphics Mobile (Braswell),AMD Radeon HD 7370M
Intel HD Graphics Mobile (Bay Trail),NVIDIA GeForce 6800
Intel HD Graphics Mobile,NVIDIA GeForce Go 7400T
Intel HD Graphics 630 Mobile,ATI Radeon HD 5970
Intel HD Graphics 620 Mobile,NVIDIA GeForce FX 5950 Ultra
Intel HD Graphics 6000 Mobile,AMD Radeon R5 240 OEM
Intel HD Graphics 5600 Mobile,NVIDIA Quadro FX 470
Intel HD Graphics 615 Mobile,NVIDIA GeForce GTX 750 Ti
Intel HD Graphics 530 Mobile,NVIDIA Tesla P100 PCIe 12 GB
Intel HD Graphics 5300 Mobile,NVIDIA GeForce GTX 950A
Intel HD Graphics 515 Mobile,AMD Radeon R2 Mobile Graphics
Intel HD Graphics 5000 Mobile,AMD Radeon 540X Mobile
Intel HD Graphics 510 Mobile,NVIDIA GeForce Go 7800
Intel HD Graphics 4400 Mobile,Matrox Millennium G450 x2 MMS
Intel HD Graphics 5500 Mobile,AMD Radeon R8 M365DX
Intel HD Graphics 4600 Mobile,AMD Radeon R9 380 OEM
Intel HD Graphics 520 Mobile,NVIDIA ION LE
Intel HD Graphics 4000 Mobile,AMD Playstation 4 Slim GPU
Intel HD Graphics 2000 Mobile,NVIDIA GeForce 6800 GTO
Intel HD Graphics 2500 Mobile,AMD Radeon HD 6870 1600SP Edition
Intel HD Graphics 4200 Mobile,NVIDIA Quadro Plex 1000 Model IV
HD Pentium P6200,NVIDIA GRID K100
HD i7 5700EQ,ATI Radeon IGP 340
HD Pentium P6100,ATI Mobility FireGL V5600
HD i7 5600U,NVIDIA GeForce GTS 450 OEM
HD i7 5650U,NVIDIA A100 SXM4 80 GB
